x y width height conf
0.6757901906967163 0.6720186471939087 0.019721508026123047 0.01948314905166626 0.3798145353794098
0.18593120574951172 0.7141105532646179 0.04040169715881348 0.03794717788696289 0.36469393968582153
0.3264327645301819 0.851780116558075 0.033545464277267456 0.02915799617767334 0.35308709740638733
0.2412409484386444 0.5780900716781616 0.03129582107067108 0.029612958431243896 0.3450046181678772
0.3011220097541809 0.7663894891738892 0.031144410371780396 0.027199208736419678 0.33916789293289185
0.6846740245819092 0.23101572692394257 0.016157329082489014 0.015779495239257812 0.30772796273231506
0.4881504774093628 0.9747655391693115 0.023430436849594116 0.0228998064994812 0.29440632462501526
0.20034682750701904 0.38463273644447327 0.02131444215774536 0.020373761653900146 0.2599438726902008
0.18482086062431335 0.7149130702018738 0.033630505204200745 0.031397223472595215 0.2522933781147003
0.6760144233703613 0.6723591089248657 0.02307915687561035 0.024253904819488525 0.2217477262020111
0.7216278910636902 0.6162112355232239 0.020232558250427246 0.019376754760742188 0.2122247815132141
0.6020070314407349 0.4352104067802429 0.016066133975982666 0.015397071838378906 0.1942235231399536
0.7240334153175354 0.6167902946472168 0.02287113666534424 0.022547125816345215 0.19056886434555054
0.233676016330719 0.5363105535507202 0.020874306559562683 0.019153296947479248 0.1873430460691452
0.29997503757476807 0.7667020559310913 0.03967893123626709 0.03314608335494995 0.16746237874031067
0.4499872922897339 0.5986878871917725 0.031340211629867554 0.02905207872390747 0.1635560542345047
0.17839500308036804 0.87090665102005 0.03791482746601105 0.03493499755859375 0.15546999871730804
0.6842039823532104 0.23095282912254333 0.020701944828033447 0.018578901886940002 0.15029925107955933
0.178201824426651 0.8695729970932007 0.03058852255344391 0.02782517671585083 0.14847593009471893
0.4513184428215027 0.9037986993789673 0.020326614379882812 0.018545925617218018 0.14478689432144165
0.2648698687553406 0.8143781423568726 0.02936077117919922 0.026384174823760986 0.14461980760097504
0.4371500015258789 0.6292784810066223 0.030471980571746826 0.023665428161621094 0.14195765554904938
0.23352456092834473 0.5362457036972046 0.025525003671646118 0.023272931575775146 0.13583742082118988
